time,action,target_price,target_volume,trade_price,trade_volume,status,flag
2018-09-01 00:00:00,buy,2.53,3.74,-1.0,0.0,未成交,0
2018-09-01 01:00:00,buy,2.53,3.1,-1.0,0.0,未成交,0
2018-09-01 02:00:00,buy,2.53,2.77,-1.0,0.0,未成交,0
2018-09-01 03:00:00,buy,2.53,2.76,-1.0,0.0,未成交,0
2018-09-01 04:00:00,buy,2.53,2.59,1.75,2.59,完全成交,0
2018-09-01 05:00:00,buy,2.53,2.23,1.75,2.23,完全成交,0
2018-09-01 06:00:00,buy,2.53,2.19,1.75,2.19,完全成交,0
2018-09-01 07:00:00,buy,2.53,2.57,1.75,2.57,完全成交,0
2018-09-01 20:00:00,buy,2.53,5.34,-1.0,0.0,未成交,0
2018-09-01 21:00:00,buy,2.53,4.92,-1.0,0.0,未成交,0
2018-09-01 22:00:00,buy,2.53,4.75,-1.0,0.0,未成交,0
2018-09-01 23:00:00,buy,2.53,3.76,-1.0,0.0,未成交,0
2018-09-01 00:00:00,buy,2.53,1.08,-1.0,0.0,未成交,1
2018-09-01 01:00:00,buy,2.53,0.93,-1.0,0.0,未成交,1
2018-09-01 02:00:00,buy,2.53,0.84,-1.0,0.0,未成交,1
2018-09-01 03:00:00,buy,2.53,0.79,-1.0,0.0,未成交,1
2018-09-01 04:00:00,buy,2.53,0.7,1.75,0.7,完全成交,1
2018-09-01 05:00:00,buy,2.53,0.63,1.75,0.63,完全成交,1
2018-09-01 06:00:00,buy,2.53,0.62,1.75,0.62,完全成交,1
2018-09-01 07:00:00,buy,2.53,0.66,1.75,0.66,完全成交,1
2018-09-01 09:00:00,sell,1.26,0.35,1.5,0.35,完全成交,1
2018-09-01 10:00:00,sell,1.26,0.83,2.5,0.83,完全成交,1
2018-09-01 11:00:00,sell,1.26,0.91,1.5,0.91,完全成交,1
2018-09-01 12:00:00,sell,1.26,0.78,2.5,0.78,完全成交,1
2018-09-01 13:00:00,sell,1.26,0.3,1.5,0.3,完全成交,1
2018-09-01 17:00:00,buy,2.53,1.53,-1.0,0.0,未成交,1
2018-09-01 18:00:00,buy,2.53,1.65,-1.0,0.0,未成交,1
2018-09-01 19:00:00,buy,2.53,1.46,-1.0,0.0,未成交,1
2018-09-01 20:00:00,buy,2.53,1.54,-1.0,0.0,未成交,1
2018-09-01 21:00:00,buy,2.53,1.44,-1.0,0.0,未成交,1
2018-09-01 22:00:00,buy,2.53,1.26,-1.0,0.0,未成交,1
2018-09-01 23:00:00,buy,2.53,1.05,-1.0,0.0,未成交,1
2018-09-01 00:00:00,buy,2.53,1.08,-1.0,0.0,未成交,2
2018-09-01 01:00:00,buy,2.53,0.93,1.0,0.93,完全成交,2
2018-09-01 02:00:00,buy,2.53,0.84,1.0,0.84,完全成交,2
2018-09-01 03:00:00,buy,2.53,0.79,1.0,0.79,完全成交,2
2018-09-01 04:00:00,buy,2.53,0.7,-1.0,0.0,未成交,2
2018-09-01 05:00:00,buy,2.53,0.63,1.75,0.63,完全成交,2
2018-09-01 06:00:00,buy,2.53,0.62,1.75,0.62,完全成交,2
2018-09-01 07:00:00,buy,2.53,0.66,1.75,0.66,完全成交,2
2018-09-01 09:00:00,sell,1.26,0.62,-1.0,0.0,未成交,2
2018-09-01 10:00:00,sell,1.26,1.52,-1.0,0.0,未成交,2
2018-09-01 11:00:00,sell,1.26,2.05,-1.0,0.0,未成交,2
2018-09-01 12:00:00,sell,1.26,2.3,-1.0,0.0,未成交,2
2018-09-01 13:00:00,sell,1.26,2.06,-1.0,0.0,未成交,2
2018-09-01 14:00:00,sell,1.26,1.77,-1.0,0.0,未成交,2
2018-09-01 15:00:00,sell,1.26,1.43,-1.0,0.0,未成交,2
2018-09-01 16:00:00,sell,1.26,0.55,1.26,0.55,完全成交,2
2018-09-01 19:00:00,buy,2.53,1.46,-1.0,0.0,未成交,2
2018-09-01 20:00:00,buy,2.53,1.54,-1.0,0.0,未成交,2
2018-09-01 21:00:00,buy,2.53,1.44,-1.0,0.0,未成交,2
2018-09-01 22:00:00,buy,2.53,1.26,-1.0,0.0,未成交,2
2018-09-01 23:00:00,buy,2.53,1.05,-1.0,0.0,未成交,2
2018-09-01 00:00:00,buy,2.53,1.41,-1.0,0.0,未成交,3
2018-09-01 01:00:00,buy,2.53,1.04,1.0,1.04,完全成交,3
2018-09-01 02:00:00,buy,2.53,0.92,1.0,0.92,完全成交,3
2018-09-01 03:00:00,buy,2.53,0.81,1.0,0.81,完全成交,3
2018-09-01 04:00:00,buy,2.53,0.84,-1.0,0.0,未成交,3
2018-09-01 05:00:00,buy,2.53,0.56,1.75,0.56,完全成交,3
2018-09-01 06:00:00,buy,2.53,0.56,1.75,0.56,完全成交,3
2018-09-01 07:00:00,buy,2.53,0.71,1.75,0.71,完全成交,3
2018-09-01 10:00:00,sell,1.26,1.13,-1.0,0.0,未成交,3
2018-09-01 11:00:00,sell,1.26,1.67,-1.0,0.0,未成交,3
