time,action,target_price,target_volume,trade_price,trade_volume,status,flag
2018-09-01 00:00:00,buy,2.51,3.49,-1.0,0.0,未成交,0
2018-09-01 01:00:00,buy,2.51,3.63,-1.0,0.0,未成交,0
2018-09-01 02:00:00,buy,2.51,3.66,-1.0,0.0,未成交,0
2018-09-01 03:00:00,buy,2.51,3.32,2.2,3.32,完全成交,0
2018-09-01 04:00:00,buy,2.51,2.51,2.2,2.51,完全成交,0
2018-09-01 05:00:00,buy,2.51,1.3,1.5,1.3,完全成交,0
2018-09-01 06:00:00,buy,2.51,0.8,2.2,0.8,完全成交,0
2018-09-01 07:00:00,buy,2.51,0.79,1.5,0.79,完全成交,0
2018-09-01 08:00:00,buy,2.51,0.77,1.5,0.77,完全成交,0
2018-09-01 09:00:00,buy,2.51,0.7,1.8,0.7,完全成交,0
2018-09-01 10:00:00,buy,2.51,0.51,1.8,0.51,完全成交,0
2018-09-01 11:00:00,buy,2.51,0.27,1.84,0.27,完全成交,0
2018-09-01 12:00:00,buy,2.51,0.27,2.14,0.27,完全成交,0
2018-09-01 13:00:00,buy,2.51,0.36,2.0,0.36,完全成交,0
2018-09-01 14:00:00,buy,2.51,0.42,2.3,0.42,完全成交,0
2018-09-01 15:00:00,buy,2.51,0.61,2.51,0.54,部分成交,0
2018-09-01 16:00:00,buy,2.51,1.07,2.52,0.0,未成交,0
2018-09-01 17:00:00,buy,2.51,1.82,2.52,0.0,未成交,0
2018-09-01 18:00:00,buy,2.51,2.71,-1.0,0.0,未成交,0
2018-09-01 19:00:00,buy,2.51,3.63,-1.0,0.0,未成交,0
2018-09-01 20:00:00,buy,2.51,4.23,-1.0,0.0,未成交,0
2018-09-01 21:00:00,buy,2.51,4.23,-1.0,0.0,未成交,0
2018-09-01 22:00:00,buy,2.51,4.01,-1.0,0.0,未成交,0
2018-09-01 23:00:00,buy,2.51,3.92,-1.0,0.0,未成交,0
2018-09-01 00:00:00,buy,2.51,3.48,-1.0,0.0,未成交,1
