time,action,target_price,target_volume,trade_price,trade_volume,status,flag
2018-09-01 00:00:00,buy,0.44,2.0,2.5,0.0,未成交,0
2018-09-01 01:00:00,buy,0.39,2.0,2.5,0.0,未成交,0
2018-09-01 02:00:00,buy,0.31,2.0,2.5,0.0,未成交,0
2018-09-01 03:00:00,buy,0.31,2.0,2.5,0.0,未成交,0
2018-09-01 04:00:00,buy,0.21,2.0,2.5,0.0,未成交,0
2018-09-01 05:00:00,buy,0.22,2.0,2.5,0.0,未成交,0
2018-09-01 06:00:00,buy,0.24,2.0,2.5,0.0,未成交,0
2018-09-01 07:00:00,sell,0.01,3.0,1.75,3.0,完全成交,0
2018-09-01 08:00:00,sell,0.37,3.0,1.5,3.0,完全成交,0
2018-09-01 09:00:00,sell,0.81,3.0,2.0,3.0,完全成交,0
2018-09-01 10:00:00,sell,1.06,3.0,2.0,3.0,完全成交,0
2018-09-01 11:00:00,sell,1.01,3.0,2.0,3.0,完全成交,0
2018-09-01 12:00:00,sell,1.0,3.0,2.0,3.0,完全成交,0
2018-09-01 13:00:00,sell,0.86,3.0,2.0,3.0,完全成交,0
2018-09-01 14:00:00,sell,0.6,3.0,2.0,3.0,完全成交,0
2018-09-01 15:00:00,sell,0.33,3.0,1.5,3.0,完全成交,0
2018-09-01 16:00:00,buy,0.14,2.0,2.0,0.0,未成交,0
2018-09-01 17:00:00,buy,0.6,2.0,2.0,0.0,未成交,0
2018-09-01 18:00:00,buy,0.83,2.0,2.0,0.0,未成交,0
2018-09-01 19:00:00,buy,0.85,2.0,2.0,0.0,未成交,0
2018-09-01 20:00:00,buy,0.79,2.0,2.5,0.0,未成交,0
2018-09-01 21:00:00,buy,0.9,2.0,2.5,0.0,未成交,0
2018-09-01 22:00:00,buy,0.64,2.0,2.5,0.0,未成交,0
2018-09-01 23:00:00,buy,0.55,2.0,2.5,0.0,未成交,0
2018-09-01 00:00:00,buy,2.14,2.0,2.5,0.0,未成交,1
2018-09-01 01:00:00,buy,1.84,2.0,2.5,0.0,未成交,1
2018-09-01 02:00:00,buy,1.56,2.0,2.5,0.0,未成交,1
2018-09-01 03:00:00,buy,1.57,2.0,2.5,0.0,未成交,1
2018-09-01 04:00:00,buy,1.1,2.0,2.5,0.0,未成交,1
2018-09-01 05:00:00,buy,0.99,2.0,2.5,0.0,未成交,1
2018-09-01 06:00:00,buy,0.86,2.0,2.5,0.0,未成交,1
2018-09-01 07:00:00,buy,0.17,2.0,2.5,0.0,未成交,1
2018-09-01 08:00:00,sell,1.01,3.0,1.5,3.0,完全成交,1
2018-09-01 09:00:00,sell,2.09,3.0,2.0,0.0,未成交,1
2018-09-01 10:00:00,sell,3.06,3.0,2.0,0.0,未成交,1
2018-09-01 11:00:00,sell,3.34,3.0,1.75,0.0,未成交,1
2018-09-01 12:00:00,sell,3.47,3.0,1.75,0.0,未成交,1
2018-09-01 13:00:00,sell,3.32,3.0,2.0,0.0,未成交,1
2018-09-01 14:00:00,sell,2.51,3.0,2.0,0.0,未成交,1
2018-09-01 15:00:00,sell,1.83,3.0,1.83,2.39,部分成交,1
2018-09-01 16:00:00,sell,0.33,3.0,1.5,3.0,完全成交,1
2018-09-01 17:00:00,buy,1.35,2.0,2.0,0.0,未成交,1
2018-09-01 18:00:00,buy,2.55,2.0,2.5,2.0,完全成交,1
2018-09-01 19:00:00,buy,3.04,2.0,2.5,2.0,完全成交,1
2018-09-01 20:00:00,buy,3.0,2.0,2.5,2.0,完全成交,1
2018-09-01 21:00:00,buy,3.49,2.0,2.5,2.0,完全成交,1
2018-09-01 22:00:00,buy,2.65,2.0,2.5,2.0,完全成交,1
2018-09-01 23:00:00,buy,2.33,2.0,2.5,0.0,未成交,1
2018-09-01 00:00:00,buy,1.19,2.0,2.5,0.0,未成交,2
2018-09-01 01:00:00,buy,1.06,2.0,2.5,0.0,未成交,2
2018-09-01 02:00:00,buy,0.91,2.0,2.5,0.0,未成交,2
2018-09-01 03:00:00,buy,1.0,2.0,2.5,0.0,未成交,2
2018-09-01 04:00:00,buy,0.84,2.0,2.5,0.0,未成交,2
2018-09-01 05:00:00,buy,0.77,2.0,2.5,0.0,未成交,2
2018-09-01 06:00:00,buy,0.73,2.0,2.0,0.0,未成交,2
2018-09-01 07:00:00,buy,0.36,2.0,2.0,0.0,未成交,2
2018-09-01 08:00:00,sell,0.36,3.0,2.0,3.0,完全成交,2
2018-09-01 09:00:00,sell,1.31,3.0,2.0,3.0,完全成交,2
2018-09-01 10:00:00,sell,1.99,3.0,2.0,3.0,完全成交,2
2018-09-01 11:00:00,sell,1.99,3.0,2.0,3.0,完全成交,2
2018-09-01 12:00:00,sell,2.2,3.0,2.0,0.0,未成交,2
2018-09-01 13:00:00,sell,1.95,3.0,2.0,3.0,完全成交,2
2018-09-01 14:00:00,sell,1.35,3.0,2.0,3.0,完全成交,2
2018-09-01 15:00:00,sell,0.92,3.0,2.0,3.0,完全成交,2
2018-09-01 16:00:00,sell,0.15,3.0,2.0,3.0,完全成交,2
2018-09-01 17:00:00,buy,0.9,2.0,2.0,0.0,未成交,2
2018-09-01 18:00:00,buy,1.78,2.0,2.0,0.0,未成交,2
